

"No.","Time","Source","Destination","Protocol","Length","Info"
"83","21.816720840","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53917, 4.01 Unauthorized, TKN:86 ed 60 be c6 9c 7a 7f, /2/2"
"84","21.816735765","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53917, 5.00 Internal Server Error"
"87","22.805776459","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53918, GET, TKN:bd 62 2e d5 c0 5e ba f5, /5/0"
"129","23.817118213","172.16.16.2","176.9.138.37","CoAP","90","ACK, MID:53918, 2.05 Content, TKN:bd 62 2e d5 c0 5e ba f5, /5/0"
"130","23.817133694","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53918, 5.00 Internal Server Error"
"139","25.305877935","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53919, GET, TKN:21 89 56 dc d9 84 ce 3f, /2/3"
"140","25.817567369","172.16.16.2","176.9.138.37","CoAP","74","ACK, MID:53919, 2.05 Content, TKN:21 89 56 dc d9 84 ce 3f, /2/3"
"141","25.817596323","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53919, 5.00 Internal Server Error"
"151","26.817789624","172.16.16.2","176.9.138.37","CoAP","89","CON, MID:52949, POST, TKN:d5 ce 94 8c, /rd/92d06b724777556088734bf1b6721362"
"165","27.196609726","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53920, GET, TKN:78 da 24 91 fe 87 ab 81, /2/0"
"166","27.817949335","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53920, 4.01 Unauthorized, TKN:78 da 24 91 fe 87 ab 81, /2/0"
"167","27.817967058","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53920, 5.00 Internal Server Error"
"170","28.553039823","176.9.138.37","172.16.16.2","CoAP","52","ACK, MID:52949, 2.04 Changed, TKN:d5 ce 94 8c, /rd/92d06b724777556088734bf1b6721362"
"173","28.773452830","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53921, GET, TKN:9f a2 3f b4 4c 02 7b 18, /2/1"
"174","28.818165229","172.16.16.2","176.9.138.37","CoAP","74","ACK, MID:53921, 2.05 Content, TKN:9f a2 3f b4 4c 02 7b 18, /2/1"
"175","28.818179332","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53921, 5.00 Internal Server Error"
"187","30.148620702","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53922, GET, TKN:08 b6 98 88 7e 00 66 0a, /1/0"
"188","30.818525935","172.16.16.2","176.9.138.37","CoAP","78","ACK, MID:53922, 2.05 Content, TKN:08 b6 98 88 7e 00 66 0a, /1/0"
"189","30.818540610","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53922, 5.00 Internal Server Error"
"190","32.041199034","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53923, GET, TKN:52 ad 9d b3 32 fc fc ab, /2/8"
"191","32.818901494","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53923, 4.01 Unauthorized, TKN:52 ad 9d b3 32 fc fc ab, /2/8"
"192","32.818929767","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53923, 5.00 Internal Server Error"
"201","33.771973176","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53924, GET, TKN:53 25 d7 f1 23 6c 8a 4c, /2/9"
"202","33.819137093","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53924, 4.01 Unauthorized, TKN:53 25 d7 f1 23 6c 8a 4c, /2/9"
"203","33.819153487","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53924, 5.00 Internal Server Error"
"204","35.031612012","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53925, GET, TKN:9f fc ef 75 71 a7 a2 3c, /2/6"
"205","35.819486740","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53925, 4.01 Unauthorized, TKN:9f fc ef 75 71 a7 a2 3c, /2/6"
"206","35.819503098","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53925, 5.00 Internal Server Error"
"223","36.795760663","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53926, GET, TKN:c6 22 77 ec 07 25 b2 68, /2/7"
"224","36.819689625","172.16.16.2","176.9.138.37","CoAP","74","ACK, MID:53926, 2.05 Content, TKN:c6 22 77 ec 07 25 b2 68, /2/7"
"225","36.819708383","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53926, 5.00 Internal Server Error"
"234","38.168578941","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53927, GET, TKN:ef f1 fb 7d 70 b9 82 4f, /6/0"
"237","38.820066861","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53927, 4.01 Unauthorized, TKN:ef f1 fb 7d 70 b9 82 4f, /6/0"
"238","38.820083036","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53927, 5.00 Internal Server Error"
"245","39.776411580","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53928, GET, TKN:72 5b 6a 49 78 32 c9 2f, /2/4"
"249","40.820409199","172.16.16.2","176.9.138.37","CoAP","56","ACK, MID:53928, 4.01 Unauthorized, TKN:72 5b 6a 49 78 32 c9 2f, /2/4"
"250","40.820428830","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53928, 5.00 Internal Server Error"
"251","41.771881886","176.9.138.37","172.16.16.2","CoAP","63","CON, MID:53929, GET, TKN:a7 7f a3 22 28 be 84 90, /2/5"
"252","42.820904524","172.16.16.2","176.9.138.37","CoAP","74","ACK, MID:53929, 2.05 Content, TKN:a7 7f a3 22 28 be 84 90, /2/5"
"253","42.820928952","172.16.16.2","176.9.138.37","CoAP","48","ACK, MID:53929, 5.00 Internal Server Error"
"278","49.821974886","172.16.16.2","176.9.138.37","CoAP","89","CON, MID:52950, POST, TKN:d6 ce ab 8c, /rd/92d06b724777556088734bf1b6721362"
"285","51.465482408","176.9.138.37","172.16.16.2","CoAP","52","ACK, MID:52950, 2.04 Changed, TKN:d6 ce ab 8c, /rd/92d06b724777556088734bf1b6721362"
"331","72.828306210","172.16.16.2","176.9.138.37","CoAP","89","CON, MID:52951, POST, TKN:d7 ce c2 8c, /rd/92d06b724777556088734bf1b6721362"
"342","74.429447274","176.9.138.37","172.16.16.2","CoAP","52","ACK, MID:52951, 2.04 Changed, TKN:d7 ce c2 8c, /rd/92d06b724777556088734bf1b6721362"
"452","95.833603520","172.16.16.2","176.9.138.37","CoAP","89","CON, MID:52952, POST, TKN:d8 ce d9 8c, /rd/92d06b724777556088734bf1b6721362"
"455","97.469173905","176.9.138.37","172.16.16.2","CoAP","52","ACK, MID:52952, 2.04 Changed, TKN:d8 ce d9 8c, /rd/92d06b724777556088734bf1b6721362"
